2026-04-15 23:45:53,367 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,367 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mars
2026-04-15 23:45:53,372 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:45:53,372 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mars_orbit
2026-04-16 06:18:00,441 [Worker-Main-2] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:small_dungeon_set_1
2026-04-16 06:18:03,676 [Worker-Main-3] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:small_dungeon_set_1
2026-04-16 06:18:17,578 [Worker-Main-3] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:small_dungeon_set_1
2026-04-16 06:19:13,580 [Worker-Main-3] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:wishing_well_set_2
2026-04-16 06:19:13,584 [Worker-Main-3] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:wishing_well_set_1
2026-04-16 06:19:19,235 [Worker-Main-3] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:wishing_well_set_2
2026-04-16 06:19:19,235 [Worker-Main-3] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:wishing_well_set_1
2026-04-16 06:21:23,171 [Worker-Main-11] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:small_creeper_set_1
2026-04-16 06:21:23,172 [Worker-Main-11] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:small_dungeon_set_2
2026-04-16 06:21:23,186 [Worker-Main-11] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:small_creeper_set_1
2026-04-16 06:21:23,186 [Worker-Main-11] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:small_dungeon_set_2
2026-04-16 06:21:28,338 [Worker-Main-2] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:small_creeper_set_1
2026-04-16 06:21:28,338 [Worker-Main-2] INFO treasure2 | SpawnerProcessor.java:81 | found mobSet -> treasure2:small_dungeon_set_2
